REF_ID;ORDEMBD;STUDY_AIM;SPECIES;SP_ORIGIN;POP_STATUS;SITE;AREA_HA;MUNICIPALITY;STATE;COUNTRY;LONGITUDE_X;LATITUDE_Y;PRECISION;UC;ANNUAL_TEMP;ANNUAL_RAIN;ALTITUDE;VEG_TYPE;BUFFER_20KM;OLSONECONAME;OLSONG200R;RIBEIROVEGTYPE;BSRS;METHOD;INST_NAME;COL_STRT_MO;COL_STRT_YR;COL_END_MO;COL_END_YR;LTR_EFF;CAM_EFF;SURV_EFF;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_55;OCCUR;Alouatta caraya;Autochtone;NA;Ruta 27 - establecimiento Luis Techaco;na;San Pedro;MISIONES;Argentina;-53.85011667;-26.59618333;Not precise;No;22.9;1886;501;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Interview;NA;June;2010;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_56;OCCUR;Alouatta caraya;Autochtone;NA;Comunidad Guarani (near P. P. Esmeralda);na;San Pedro;MISIONES;Argentina;-53.90011667;-26.82838333;Not precise;No;23.5;1848;307;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Interview;NA;June;2010;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_57;OCCUR;Sapajus nigritus;Autochtone;NA;Comunidad Guarani (near P. P. Esmeralda);na;San Pedro;MISIONES;Argentina;-53.90011667;-26.82838333;Not precise;No;23.5;1848;307;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Interview;NA;June;2010;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_58;OCCUR;Sapajus nigritus;Autochtone;NA;Camping El Sendero;na;El Soberbio;MISIONES;Argentina;-54.19675;-27.29713333;Not precise;No;25.7;1701;157;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Interview;NA;July;2010;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_59;OCCUR;Sapajus nigritus;Autochtone;NA;Farm close to camping El Sendero;na;El Soberbio;MISIONES;Argentina;-54.22475;-27.27475;Not precise;No;25.6;1702;162;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Interview;NA;August;2010;NA;NA;NA;NA;NA;;;
REF0803;Agostini_etal_6;OCCUR;Alouatta caraya;Autochtone;NA;Itacuarahyg Private Reserve;250;ElDorado;MISIONES;Argentina;-54.49;-26.43;Precise;Yes;24.7;1636;211;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Survey;NA;NA;2008;NA;2008;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_60;OCCUR;Alouatta caraya;Autochtone;NA;Farm close to camping El Sendero;na;El Soberbio;MISIONES;Argentina;-54.22475;-27.27475;Not precise;No;25.6;1702;162;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Interview;NA;August;2010;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_61;OCCUR;Sapajus nigritus;Autochtone;NA;Entrada a camino cerca de R2, Cnia Paraiso, cerca del cartel Krishna Forest;na;El Soberbio;MISIONES;Argentina;-54.02411667;-27.20276667;Not precise;No;25;1762;249;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Interview;NA;August;2010;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_62;OCCUR;Sapajus nigritus;Autochtone;NA;Don Enrigue Lodge (touristic lodge);na;El Soberbio;MISIONES;Argentina;-54.1119;-27.0322;Not precise;No;25;1732;427;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Interview;NA;August;2010;NA;NA;NA;NA;NA;;;
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_63;OCCUR;Sapajus nigritus;Autochtone;NA;Comunidad Guarani Caramelito;na;El Soberbio;MISIONES;Argentina;-54.25023333;-26.92725;Not precise;Yes;24.4;1723;388;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Interview;NA;August;2010;NA;NA;NA;NA;NA;;;
